time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010453900000	-0.190344	13.2856	1	1	0.1	lidar	0	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075
1477010453950000	-0.301863	13.1244	-2.86691	0.176758	-0.00710668	radar	21.2754	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955
1477010454000000	-0.0478807	12.98	-2.86002	0.281739	0	lidar	2.22105	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704
1477010454050000	-0.273902	12.642	-3.74839	2.22996	0.0127648	radar	8.99749	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326
1477010454100000	-0.362035	12.4223	-3.91012	1.8338	0	lidar	1.89435	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823
1477010454150000	-0.449264	12.2058	-4.40596	1.50476	-0.00259776	radar	4.37698	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198
1477010454200000	-0.536482	12.0068	-4.33266	1.39254	0	lidar	0.306115	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456
1477010454250000	-0.653786	11.7658	-4.68217	1.30769	0.00297174	radar	3.97262	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598
1477010454300000	-0.986216	11.5026	-4.9397	1.01446	0	lidar	4.45628	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628
1477010454350000	-1.06648	11.2661	-5.00503	1.07066	0.00196595	radar	1.58352	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549
1477010454400000	-1.28682	11.0414	-5.22689	1.00153	0	lidar	0.968868	-1.39289	11.0424	-1.21362	10.9695	-2.08575	-4.73364
1477010454450000	-1.38008	10.7892	-5.63429	1.06733	0.0291338	radar	2.46734	-1.29894	10.9012	-1.31706	10.7324	-2.05273	-4.75075
1477010454500000	-1.51296	10.5196	-5.67282	1.07267	0	lidar	0.565514	-1.49687	10.4198	-1.41889	10.4945	-2.02111	-4.76686
1477010454550000	-1.6428	10.2437	-5.8781	1.08704	0.00979575	radar	0.928543	-1.59293	10.0212	-1.51917	10.2559	-1.99093	-4.78198
1477010454600000	-1.69272	10.0434	-5.58427	1.12286	0	lidar	2.70801	-1.61875	10.2374	-1.61797	10.0165	-1.96221	-4.79615
1477010454650000	-1.78101	9.81337	-5.40156	1.13242	-0.00404148	radar	0.787048	-1.59702	9.96554	-1.71539	9.77637	-1.93498	-4.80939
1477010454700000	-1.81967	9.60725	-5.18633	1.16214	0	lidar	1.29793	-1.73381	9.71347	-1.81147	9.53564	-1.90924	-4.82172
1477010454750000	-1.97178	9.33997	-5.58097	1.15279	0.0135166	radar	1.86646	-2.27191	9.37316	-1.90631	9.29431	-1.88502	-4.83316
1477010454800000	-2.04711	9.0346	-5.62464	1.1748	0	lidar	4.41705	-1.93833	8.77028	-1.99998	9.05243	-1.86233	-4.84374
1477010454850000	-2.12357	8.81513	-5.32195	1.17805	-0.00914554	radar	1.97571	-1.96565	9.13274	-2.09256	8.81003	-1.8412	-4.85347
1477010454900000	-2.20973	8.56775	-5.29959	1.18478	0	lidar	0.106289	-2.1768	8.5411	-2.18412	8.56717	-1.82164	-4.86238
1477010454950000	-2.36243	8.29774	-5.52205	1.16681	0.00421864	radar	1.79719	-2.65862	8.19477	-2.27474	8.32388	-1.80365	-4.87047
1477010455000000	-2.3741	8.0828	-5.27159	1.20676	0	lidar	2.08533	-2.21875	8.15339	-2.3645	8.0802	-1.78726	-4.87778
1477010455050000	-2.41821	7.87949	-5.14667	1.22837	0.00639497	radar	5.75025	-2.273	8.52315	-2.45348	7.83617	-1.77248	-4.8843
1477010455100000	-2.53891	7.62424	-5.23479	1.21448	0	lidar	0.26875	-2.59674	7.60288	-2.54177	7.59184	-1.75931	-4.89006
1477010455150000	-2.70089	7.37929	-5.14797	1.17257	-0.0142918	radar	3.38358	-3.08256	7.38874	-2.62944	7.34723	-1.74777	-4.89507
1477010455200000	-2.8065	7.12722	-5.19369	1.17054	0	lidar	0.222407	-2.79865	7.064	-2.71658	7.10238	-1.73786	-4.89933
1477010455250000	-2.86575	6.89494	-5.3518	1.20454	0.0225543	radar	2.39671	-2.79412	7.20818	-2.80326	6.85734	-1.72958	-4.90286
